probs	phenotype	ids
6.70168118296778	6.61920959038373	syn10000
4.00891953162189	4.98798953340079	syn10001
5.97461252860267	6.61955599663968	syn10003
7.37976550312544	7.86106987061719	syn10007
5.82410429964444	5.99502393337395	syn1001
5.4334193435835	6.32077696039972	syn10015
5.74927046583877	5.206657843901	syn10017
4.51849069929604	4.87910046307834	syn10019
4.3861863432943	5.15386265885714	syn10020
6.88861108429918	6.02852934402164	syn10021
4.74822755499556	5.11637488204408	syn10024
5.224674637119	5.60381607201327	syn10029
5.67580241987842	5.57989324832057	syn10033
5.76102638772947	5.48681759841205	syn10036
5.80697535046482	5.46829279446164	syn1004
4.68845120889166	5.53902058547899	syn10040
4.57420250852015	4.4943498802687	syn10041
5.63956974946491	4.78434842042069	syn10042
6.09357633049406	6.36708115515654	syn10045
4.82527470122353	3.9520624655128	syn10049
6.39137478136057	6.37103058051718	syn10050
5.66114482053339	4.15437319727651	syn10058
5.60800045371916	6.33166261682089	syn10062
5.94251999585282	4.7919856665751	syn10064
3.76903824442455	4.40908889668706	syn10068
6.17510182841876	6.09839203737313	syn1009
5.04637018837808	5.22667706332397	syn10095
5.16659433491624	4.0246496031924	syn10099
5.57716826561608	5.21373866099192	syn1010
5.05575164880718	5.49959557601195	syn10100
6.43366247771321	8.23031954936336	syn10109
5.55770504275998	5.76091101305906	syn10111
6.10382521044328	5.9523771272942	syn10113
5.05211982694029	5.30831169903757	syn10114
5.05952671426455	4.75085780461111	syn10115
5.03782033657146	5.59802942236343	syn10117
5.72097488298372	5.64051810829781	syn10122
5.55528979666499	5.00206360630101	syn10129
5.96943984339099	5.37484022190386	syn10131
5.27984828813166	6.3584038450283	syn10134
5.87086935294665	4.99252037793054	syn10136
5.53277966326978	5.51435817327766	syn10138
4.94178247238653	5.84149634045245	syn10143
7.56064336275917	7.27524648018874	syn10144
6.26927155744455	7.91757355916733	syn10152
6.85846228749233	8.16761429781551	syn10154
5.71206393795945	6.4087247815549	syn10157
4.81071956083559	3.77677825824628	syn10165
5.70587661064855	5.09810730196061	syn10166
6.00122400452245	4.79691780715505	syn10168
6.74015999245974	7.1162413126909	syn10179
6.41194217355993	6.71883946233479	syn10181
4.8563247389538	6.89571011300988	syn10184
7.96264754670928	7.39937120930116	syn10185
4.38209395349414	5.58090736153574	syn1019
4.17503534345921	3.78627977320106	syn10190
5.06398815525963	4.35857598077319	syn10191
5.09865409890229	4.83430409594976	syn102
4.04341736299517	3.6301915672398	syn10201
5.66111597286587	4.27437710006306	syn10205
5.55833770195126	5.02860906808274	syn10214
6.44959534291234	7.17771003293752	syn10215
5.42517388440665	4.21336387458664	syn10218
6.74442745775938	7.71183933347967	syn1022
5.35328151794155	5.91079685581152	syn10229
5.79830851639265	6.57857493875751	syn1023
5.53296070725219	5.63365924502027	syn10233
6.6079302424947	6.38529906066774	syn10236
5.47721806086624	6.78928646259273	syn10239
6.11814857474385	5.93447893033949	syn10240
5.30210575574922	6.08437565630675	syn10241
5.7247340324866	5.56435475726653	syn10246
5.21317933898319	4.51186809549573	syn10248
6.63069602590903	6.54678954997189	syn10251
6.49168408983376	6.4133341342911	syn10256
5.72052127828054	5.69453496196628	syn10258
5.20021380455069	5.92062439924629	syn10262
5.74191331587231	7.0089647691145	syn10265
5.56688059052778	6.49107364725807	syn1027
5.85846386116302	6.37730336404916	syn10272
6.84059861806322	7.49501125834126	syn10275
5.95754465689844	4.18988254761673	syn10283
5.19083234412158	6.27091250784502	syn10284
4.04749980532377	4.29710128625142	syn10290
5.35025649183987	5.17117971940718	syn10293
5.61951166780946	5.99370943800696	syn10295
6.00721934563222	5.5723202821094	syn10299
6.24157680187178	5.43618206530274	syn10302
4.94500545317227	5.03015670639991	syn10304
5.71150389531057	5.74109645593017	syn10312
5.69557898808869	5.29230698629884	syn10313
5.42009470542764	4.68634821582846	syn10316
6.32777661668296	5.89793452084424	syn10319
6.07364259223312	5.4034377626353	syn1032
5.58159588520785	5.57572222183809	syn10320
5.82804747737119	6.56356340197253	syn10321
5.09068915842346	5.46926296747407	syn10328
5.88452822614695	5.86486272840659	syn10337
5.07897601066047	6.09908266278488	syn10343
5.83287995905548	5.56762457880661	syn1035
5.2267815115956	4.89982299897357	syn10351
6.26456640339623	6.48499323357448	syn10361
5.05090921965133	4.93478984165769	syn10368
4.40481298379213	2.96522814667856	syn10369
6.14374938755304	7.22913250779536	syn1037
4.82985053814156	4.46847607490404	syn10371
5.96648544433739	4.99149385433674	syn10373
5.71788121932828	5.46044120645976	syn10411
5.92414900537411	5.33678709940263	syn10416
4.60272588847394	4.83404506324871	syn10418
4.68674521751896	5.00531929137493	syn10424
5.96761249286525	5.95916154035681	syn10427
4.63798271192732	5.80009810641377	syn10429
5.71622397056623	5.68978066234873	syn10436
5.86873363080252	5.32585322869216	syn1044
5.75128482882985	6.32851678555342	syn10450
7.29644448658399	8.29994319382614	syn10451
5.33681745776106	5.43308002914127	syn10468
6.87340239502968	6.25801275303456	syn10469
7.38346496779894	6.4992562164646	syn10482
4.3259026761408	4.17101577625808	syn10486
4.6868327552687	5.0824465330123	syn10487
6.44947199426498	7.00156462766071	syn1049
6.22153861515946	4.84812351444986	syn10492
5.84293088432064	6.2068196221558	syn10493
4.44215380253752	4.85889813017227	syn10495
6.34997638896547	7.1866908519633	syn10498
4.56441220700989	4.84426512160887	syn10501
6.34037608416203	5.90761277362277	syn10503
5.06104668791906	4.13567558165399	syn10510
5.60734988907908	4.81970853710053	syn10514
5.10605800198508	4.72744705095442	syn10515
5.21680817660862	3.95140641572115	syn10517
5.63027881102701	5.39469006846584	syn1052
5.61948679913056	5.16708502944143	syn10521
5.3910809151259	6.00642783023543	syn10523
5.4788365144892	5.58990742193553	syn10526
5.68977861742151	5.54831580782879	syn10527
5.73087759092262	6.79232966675353	syn10528
6.0829613835914	6.37052078194107	syn10529
4.67679774595804	4.48179971262962	syn10537
6.88555124204703	7.64837140486726	syn10539
4.84504729044518	5.63368659551506	syn1054
6.12150087265988	7.04979407618507	syn10540
6.25513023187354	6.23655668460593	syn10544
4.44709869065046	4.83901969177768	syn10549
5.6538632713508	5.03326141857043	syn10553
6.03363883535087	5.06857430564261	syn1056
5.5044621959773	5.57687125221293	syn10565
6.54237143117244	6.8175892518928	syn1057
5.31522746548523	4.43289999736918	syn10571
6.08208202710541	4.96836882633427	syn10572
5.70270635146209	7.05071771897817	syn10582
5.96641382254216	4.42927755501568	syn10584
4.03478295768029	3.44966255499396	syn1059
4.91465472269274	4.9458099686456	syn10599
5.3677322098781	5.39263820944761	syn10604
6.00357061306367	6.84628510090926	syn10606
5.32529828569351	5.43338480139156	syn10607
5.19364946806763	5.09836750341651	syn10609
5.84278465648869	5.83264390907359	syn1062
6.24406466450917	5.63919091253413	syn10620
5.7991570357168	6.30305365657347	syn10623
5.75908563602793	7.33802112522768	syn10624
4.87101417020781	4.0915897587413	syn10633
5.31367168093311	5.36994331697609	syn10636
5.94295867934866	6.25972935156548	syn10641
5.59227350118134	5.79530042921129	syn10642
5.46637233262337	5.63756445624495	syn10643
5.51801960496768	5.01399606719496	syn10650
5.54307529633533	4.95296259076126	syn10653
5.57996947360764	4.72750928736769	syn10656
6.07298506436295	5.85525595543037	syn10660
5.59609233551358	4.29410191963382	syn10663
6.09794227576215	5.37952308346642	syn10670
5.74191331587231	6.31703117716486	syn10677
5.1257520061814	4.16879740178163	syn10681
4.8469044833856	4.21477063934815	syn10683
6.08140360954496	6.56000466783765	syn10688
6.17716194977903	6.13598809094004	syn10690
5.42410453121385	4.82198751541431	syn10691
6.61400516337696	7.87899976926503	syn10692
7.03046003926362	7.81645722448312	syn10697
5.22141684018279	6.22757504414099	syn10699
5.85469874317721	5.3580628375337	syn10727
5.5653576326318	7.04726261179141	syn10729
4.86487856974904	5.26048691011436	syn10735
6.48798164091878	7.66863782998538	syn10738
5.96501520804069	5.68130619116795	syn10740
5.08522103330642	3.87718096032352	syn10741
4.39313962591539	4.16820435539516	syn10743
5.42618056852861	5.75123869012515	syn10746
5.99821290488096	6.62532582978027	syn10748
7.23319149916955	7.50610345834188	syn1075
6.25156306857179	6.80806694195048	syn10755
4.57269845082014	6.48805280112846	syn10758
5.59587150164493	6.70845677528514	syn10775
6.41250818469175	6.9708571301371	syn10777
4.96583247437938	5.48987320369687	syn10786
6.7946064833013	8.21686426685573	syn10787
5.60018273581943	5.36382677182987	syn10788
5.45399469376011	5.39520640198695	syn10790
5.64143390563543	5.36635932584306	syn10793
6.62268632180818	6.01750381634513	syn10794
5.0065912443531	6.05035165574393	syn10796
5.30906998058902	6.28131029566438	syn1080
4.94630260346382	4.22399392312138	syn10802
6.72907154591078	7.45051297444806	syn10803
4.94607082737645	3.46152626750004	syn10809
6.72823297405819	7.06353881648774	syn10810
6.89362659946019	6.95203672232928	syn10811
5.96640586456491	6.54067006194044	syn10814
5.97273345122481	5.72216517109362	syn10816
6.27195140628306	5.91478083891192	syn10817
5.85630625458146	5.03128918173845	syn10819
5.92971063672382	6.11315767269614	syn10820
5.81297407371492	5.71290206998558	syn10821
4.53574558346562	4.50155105665367	syn10823
5.87461656548365	4.93012758876773	syn10839
5.13256602420063	2.908191499717	syn1084
4.81233105122846	5.83794753544766	syn10845
5.50662477629464	5.27050591880327	syn10862
5.75457445767505	6.04259627695443	syn10863
6.86295357090209	6.08474090651721	syn10865
5.27635175187799	6.33252300937147	syn10872
5.95416450606204	6.89077260970034	syn10875
4.45000633658771	4.1412207276896	syn10877
4.04206749110435	3.38030741273741	syn1088
4.64675339760259	4.27735069895154	syn10881
6.14912102219594	5.97969809007268	syn10891
6.22351219351715	6.58440418691393	syn10892
5.95977289052808	7.21108325903373	syn10894
5.95154036306426	6.62193034774228	syn10906
5.08543689343929	5.32929659164631	syn10907
5.4809503521959	5.83465091379218	syn10908
5.72627390108423	6.07014624605622	syn1091
6.0192587704624	5.19803445423267	syn10913
5.2079390109649	5.1733702230265	syn10917
5.56977928374063	5.44416434722033	syn1092
6.00872340333223	6.22500383619423	syn10922
5.22036240819734	5.27444496794981	syn10926
4.03732951039989	3.89184315729047	syn10928
4.54082575719178	4.29270151718604	syn10933
4.85251286785165	5.16248074563929	syn10935
5.84556696428428	5.733096922219	syn10940
5.45810598375624	5.93522181178293	syn10947
5.984129274645	6.09896004304593	syn10948
3.75456964703918	3.75823969765325	syn10953
5.99504562993596	6.33402066897001	syn10954
5.43793748516647	5.4469679637646	syn10958
