probs	phenotype	ids
5.35111524337536	5.62650463426777	syn10000
2.96801353407136	3.63425610111894	syn10001
4.65865318599165	6.33825789327619	syn10003
5.91180430408905	5.6669563848387	syn10007
4.58331053387066	5.16930092371126	syn1001
4.20940096883714	4.02213895550565	syn10015
4.43874626582474	3.41252662809603	syn10017
3.27363829945729	2.80748257874744	syn10019
3.18841403813505	2.58930634840488	syn10020
5.64383939415193	4.67376799676545	syn10021
3.6514141061612	3.52858174034229	syn10024
4.1221467568408	4.40765488590686	syn10029
4.56009431375643	3.98202444458615	syn10033
4.64395312538111	4.75569385252545	syn10036
4.58914028604877	5.21865494905663	syn1004
3.42183363680588	3.72188368381366	syn10040
3.39288856617132	3.41975972743373	syn10041
4.20957734811293	4.90586998627391	syn10042
4.68209832177631	4.83014178321787	syn10045
3.6944666387922	4.05469248797902	syn10049
5.09127480382946	5.23572730908978	syn10050
4.34028035023487	5.0121514337903	syn10058
4.28567010871932	4.42588160933792	syn10062
4.43981804800062	3.8367058361801	syn10064
2.74888830381422	2.73692224135094	syn10068
4.7473280655219	3.16006185381013	syn1009
3.82910262068889	4.92690616135115	syn10095
3.9375749814877	3.38241433420375	syn10099
4.37725594148874	4.35416938041809	syn1010
3.76597979492526	4.02435208979362	syn10100
5.23010714266272	5.66332712610242	syn10109
4.17459436597478	4.51652711060001	syn10111
4.81403419120101	4.8781563360426	syn10113
3.88082524743926	4.14551900084018	syn10114
3.80893907297294	4.23950227419331	syn10115
3.89589574425403	3.01496821752383	syn10117
4.55834651033601	5.4776809737212	syn10122
4.45842169183995	5.83778911034028	syn10129
4.74621943835091	5.65747096275348	syn10131
4.1571316259194	3.76416066274683	syn10134
4.41710087397922	4.41414981400979	syn10136
4.31055577456895	4.003154746041	syn10138
3.64684036113453	4.153009714584	syn10143
6.37065548662786	6.60811524422001	syn10144
4.94214970140205	2.98671793152847	syn10152
5.78895991238012	6.61180243195442	syn10154
4.67267096866036	4.88309772165549	syn10157
3.66996660398306	4.49136974461278	syn10165
4.46626302185093	5.12704977207821	syn10166
4.6507853395017	3.8724802260635	syn10168
5.36581729023902	4.98743204884812	syn10179
5.07815609862908	4.63407265180982	syn10181
3.5232787334291	2.5106225227437	syn10184
6.63353548930154	7.6860271102148	syn10185
2.97728178831353	2.94696222931039	syn1019
2.98487215524461	2.7309190232689	syn10190
3.71556829385001	4.45974285437757	syn10191
3.9088236698436	4.67505089529666	syn102
2.92037643133426	2.16890420205743	syn10201
4.3188385493327	4.65674073930982	syn10205
4.39556671230763	3.52683897840065	syn10214
5.07653978516425	6.22594817494296	syn10215
4.08425649603172	2.93916481570472	syn10218
5.49375135621885	5.47421445608797	syn1022
3.98325840566995	4.35566973424514	syn10229
4.7065202968384	4.58150907072577	syn1023
