probs	phenotype	ids
12.4481969525778	12.9172498081013	syn10000
12.1933720563863	12.1291520400282	syn10001
12.0382500447504	11.2718565213006	syn10003
12.7107163935813	12.8637270677552	syn10007
12.6379607993459	12.6356403022451	syn1001
11.7239551818998	11.5224994570676	syn10015
13.7074936987847	13.3823524922732	syn10017
12.0870892333202	11.567038024352	syn10019
12.5649167774058	13.5145726480965	syn10020
13.2733187656449	13.383440017425	syn10021
11.8412982656424	12.6726810462052	syn10024
12.7070110786205	12.1504589941207	syn10029
11.290663386923	12.2657243243969	syn10033
12.9689864311712	13.6414010121677	syn10036
11.7481158093097	10.5783895703565	syn1004
12.3229566397927	12.9469183985067	syn10040
13.4559664926854	12.7360490213791	syn10041
13.4783799741783	13.6706559668818	syn10042
12.3606890660765	13.1975674815109	syn10045
13.851990288846	13.8690014072695	syn10049
13.318872291754	12.4499263084571	syn10050
11.4072622487032	10.1474613619205	syn10058
13.2613692254537	13.4604618624085	syn10062
13.0211025705077	13.7316029222433	syn10064
13.4051188466222	13.3955018746113	syn10068
12.1764313434359	12.8589643296061	syn1009
12.2202420402333	11.727272689979	syn10095
12.4829093249616	11.7645651557223	syn10099
12.7714288557784	12.6761629537472	syn1010
13.2535684725352	12.9512296882461	syn10100
11.7836582452346	11.3643802911831	syn10109
12.6199699740987	12.1178433401578	syn10111
11.9660132279651	12.3301098467439	syn10113
13.8099516565496	14.2757389363386	syn10114
12.9003689896632	12.1478033994011	syn10115
13.3089468861811	13.1744084224483	syn10117
11.9270107387333	11.7236402659398	syn10122
13.8502848374102	11.8244880886726	syn10129
11.7118343509697	12.8486946883233	syn10131
11.0210242944241	9.98107968480314	syn10134
13.2387771934768	13.3541671361315	syn10136
12.4602008427515	12.0062815785333	syn10138
13.1248641430148	12.7315151390451	syn10143
12.7888761812008	13.4111384360305	syn10144
13.0104168145662	11.7535400803148	syn10152
13.7021885911086	14.0040680891678	syn10154
13.1774411780511	13.2968053865742	syn10157
12.4597443617614	12.5884440169637	syn10165
12.7078583104774	12.339629122139	syn10166
12.2761426649924	12.4634784268968	syn10168
13.3763299355961	13.4553318971968	syn10179
13.0921438250249	12.7642020350834	syn10181
12.12991609733	13.0332323031364	syn10184
12.5316533127679	12.413050157236	syn10185
12.754935343117	12.8120568141524	syn1019
11.9349605518745	11.7514684586057	syn10190
11.1473313972985	11.3846971244505	syn10191
11.4800763133168	12.122723934722	syn102
13.1900679347207	12.5891337482757	syn10201
12.5326896904121	13.7310418025067	syn10205
12.2219488651343	12.2177788642518	syn10214
13.6940343278529	13.5133502900489	syn10215
12.3128577459363	11.9474896129629	syn10218
11.5913038467745	10.3061897077003	syn1022
13.108807549274	12.8436310112838	syn10229
12.2928385087076	12.3848236054112	syn1023
11.9031099905717	13.0038904035141	syn10233
12.6759874415097	12.0931076496742	syn10236
11.6425677509165	11.0369367862004	syn10239
12.5653948806632	12.2939216219967	syn10240
13.3340688019273	13.0871223955008	syn10241
12.2001422590774	12.3460028142883	syn10246
11.775005119775	12.0398427320387	syn10248
12.4593467435683	13.749072461841	syn10251
11.9620948296795	12.4108438607715	syn10256
12.6227018946079	12.0867021548238	syn10258
11.8279189481143	11.8616879157031	syn10262
13.6993049026881	13.9721917898042	syn10265
14.3963942461986	14.59356576013	syn1027
13.0282907971616	13.2516426252889	syn10272
13.0145485904906	13.5521897456321	syn10275
12.5530896718322	12.7981000696065	syn10283
11.8876961785732	12.0329739435848	syn10284
14.3661866436623	14.8587546310072	syn10290
12.3244873668263	12.4618106639547	syn10293
12.4292194887497	12.8194519844421	syn10295
11.9730380122529	13.2638937421561	syn10299
12.5840793647301	11.6128791271143	syn10302
11.1116989405363	11.5748076077908	syn10304
12.2530018355389	13.1654579610238	syn10312
11.6850928842293	10.596786360298	syn10313
11.642639759738	12.7835827955571	syn10316
13.0284508058645	13.8627934125104	syn10319
13.3123942447449	12.436527231147	syn1032
13.2412722893331	14.0766184391161	syn10320
13.2999986226578	13.8231418320677	syn10321
13.1887162486944	13.2309082808041	syn10328
13.2087700187639	13.0881492886659	syn10337
12.9315663701296	13.4836299780336	syn10343
13.3748990791079	12.862975755079	syn1035
11.9421992043243	13.4058556610059	syn10351
13.1820695597721	13.8768530566177	syn10361
13.038025330305	12.8769307934122	syn10368
12.2552429384266	12.5935135304573	syn10369
13.444312639944	13.9693509022581	syn1037
11.8707764600204	11.2287770083252	syn10371
12.6493428040702	12.6935459213536	syn10373
11.0519286362665	10.7193476959885	syn10411
12.2084888074698	13.2049888565105	syn10416
12.856683768728	13.0746581715276	syn10418
12.4929219848205	12.6852722183309	syn10424
11.8970028772878	12.6376763406453	syn10427
12.790726140803	12.6452944063339	syn10429
13.0852089634699	14.1563671141037	syn10436
11.6987494455308	10.8370419744701	syn1044
11.6536727080766	12.0434943130674	syn10450
12.7141990109604	13.0189658048543	syn10451
14.2675394633693	14.197930734169	syn10468
12.5999904692579	12.2419673294261	syn10469
12.2486216586116	12.4141398094644	syn10482
11.9033415175729	13.1564754737631	syn10486
13.2741207712528	12.895036688878	syn10487
11.9303190241289	11.8957863183081	syn1049
12.7960051526391	12.880180721154	syn10492
11.7631637890255	12.0613379497973	syn10493
12.2329027411157	13.2621315617828	syn10495
12.5277595387524	13.557578305549	syn10498
12.1275295052293	12.5949750275266	syn10501
13.0855578236463	12.9375952656441	syn10503
13.7008707511905	13.081986110091	syn10510
11.2013919710263	11.2124861620473	syn10514
12.701301191111	12.6714817062117	syn10515
12.1573466512128	11.7056101425572	syn10517
11.6873333396262	13.070510712992	syn1052
14.2199738106525	14.5491525756223	syn10521
12.0777020495412	11.9806890704296	syn10523
12.9964161021121	13.1487949884955	syn10526
13.2416468529308	14.6998747309909	syn10527
11.6746356140445	12.5156167330837	syn10528
13.2748886364384	12.365350957137	syn10529
13.6717431828728	13.8338652532751	syn10537
12.4998076566982	11.521120049944	syn10539
12.5357345647916	13.191128093199	syn1054
12.7103154398297	11.7652398480676	syn10540
11.8843798485953	11.8556540991856	syn10544
13.1492722884857	13.6025997957385	syn10549
14.3034975098822	15.7003467142189	syn10553
13.6209901097034	14.0066509692596	syn1056
11.1540669690441	11.3389619529232	syn10565
12.4759463466106	12.2951327370593	syn1057
12.4267586314203	12.1923242418063	syn10571
13.8586134326495	15.070481122067	syn10572
13.6886982191037	13.4619357468542	syn10582
12.1171188347587	11.6536422360953	syn10584
12.3014312998004	12.6106029893728	syn1059
12.6469099065693	12.5136171957653	syn10599
11.7782555234203	10.1866447833342	syn10604
13.2064542582289	12.6891226638279	syn10606
12.7264785752329	12.5762310254926	syn10607
12.4024349933048	12.7704759024359	syn10609
11.7397204047959	13.3282911454935	syn1062
12.221802885398	12.868659083577	syn10620
12.1790783053083	12.3247471057315	syn10623
12.7917923422643	12.5996345805317	syn10624
12.3807667736835	11.5814565254224	syn10633
12.5315093932294	12.1880089889808	syn10636
14.7128060114353	14.7517700587089	syn10641
12.7842110102318	13.3081555985452	syn10642
12.2366527918021	11.9120900917529	syn10643
13.0768740895323	13.5097076362147	syn10650
11.829275735583	11.6378003628763	syn10653
11.9216984694169	11.5011583125476	syn10656
13.4113744903637	13.2802201541205	syn10660
11.9976181744373	11.6414412891749	syn10663
12.8632169505569	12.7026854396129	syn10670
12.529334314779	12.4464253929259	syn10677
12.357049186925	13.2445377126833	syn10681
10.6075301182455	11.2938796529332	syn10683
12.7638504668857	13.5669000264339	syn10688
12.5840986913484	13.1562315609604	syn10690
13.6746387419574	12.6897007836341	syn10691
12.2243691071339	10.7692317952681	syn10692
10.7947341200807	11.4326985496461	syn10697
12.9058736422208	12.5442503405599	syn10699
12.9518232168485	12.4079097452577	syn10727
12.9270634642707	12.2578273419303	syn10729
13.0647175485053	13.5395914092747	syn10735
12.616498540651	11.8273000714322	syn10738
11.5144456136993	10.7058403499918	syn10740
12.7032720156562	11.9365919733873	syn10741
12.3844480530022	12.6852306946551	syn10743
12.645175906677	13.0862499787404	syn10746
13.1380865911891	12.9108697178203	syn10748
12.0574730645462	12.4604821342484	syn1075
12.3479179974498	13.0452085036675	syn10755
13.3038560979486	13.2141032628453	syn10758
12.3482922667335	12.3118107882832	syn10775
11.9152040389293	12.6702334783147	syn10777
13.1034399489285	13.1895894585717	syn10786
11.7324563432387	12.4536710598581	syn10787
11.3287135742055	11.1832024299837	syn10788
12.8381783845311	13.0828324216958	syn10790
13.1645167718385	13.0941423138049	syn10793
12.9310362125388	11.8550803698179	syn10794
13.9758121063303	14.4802386653478	syn10796
12.9424882639914	12.4216760983233	syn1080
11.8677499312126	12.1377967312756	syn10802
10.523898248816	10.9668939603247	syn10803
12.8233951892967	13.1910629565626	syn10809
11.8803537313914	10.6535692866918	syn10810
11.6593983904366	11.9895617929142	syn10811
12.5258608211334	12.6529585804204	syn10814
13.122524248733	12.5792966463979	syn10816
12.4521333040164	11.6111261611941	syn10817
12.1749910689002	12.3016576157218	syn10819
11.9157741251174	13.3833427123916	syn10820
12.4726312331306	13.2936160288904	syn10821
11.029308350147	11.3276466247254	syn10823
11.6957071611144	12.3129566438095	syn10839
12.9233436298201	12.4156191193378	syn1084
13.1782211101102	14.1402872389526	syn10845
11.6257875371923	11.0416469384576	syn10862
13.2506085175508	13.620983695821	syn10863
12.1501829507243	11.377412241648	syn10865
12.353513789238	11.3693996329665	syn10872
12.5330177524002	12.9144874084468	syn10875
10.6298745340568	10.6622806478237	syn10877
13.1972793140747	14.1510671133796	syn1088
13.2780551605982	13.1810535826987	syn10881
11.5181524983346	11.2688236862836	syn10891
10.8745278408378	10.8046363236154	syn10892
14.2323591317501	14.1735581772068	syn10894
11.292319491714	11.8638650359045	syn10906
12.1823954201234	12.480040364482	syn10907
13.0396451363713	13.7728912762103	syn10908
13.1146700876368	13.462054293088	syn1091
13.4903625756404	14.0673559961898	syn10913
11.8887674814769	12.7417082480367	syn10917
12.5523102302964	11.4476718083156	syn1092
10.8235649217974	10.1914977596674	syn10922
14.2800412347001	14.6003054780705	syn10926
13.1339475555198	12.3707694312637	syn10928
12.4619172819093	12.4717641839512	syn10933
